epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7701,0,0,57.9263,0,0,0,0,0,0,0,0,0,0,0,70.595,0,0.0002,0.0002,0.0002
2,50.2517,0,0,50.8585,0,0,0,0,0,0,0,0,0,0,0,71.62,0,0.000411684,0.000411684,0.000411684
3,73.4047,0,0,44.688,0,0,0,0,0,0,0,0,0,0,0,70.1069,0,0.000614656,0.000614656,0.000614656
4,99.5028,0,0,42.4348,0,0,0,0,0,0,0,0,0,0,0,61.7545,0,0.000808916,0.000808916,0.000808916
5,123.457,0,0,39.3673,0,0,0,0,0,0,0,0,0,0,0,47.3546,0,0.000994464,0.000994464,0.000994464
