epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,1624.14,0.58272,0.72548,0.54832,0.96106,0.99742,1,0.995,0.91606,0.99742,1,0.995,0.96125,0.27705,0.34446,4.66743,0.55801,0.0007724,0.0007724,0.0007724
33,1674.89,0.57768,0.69057,0.51356,0.92669,0.99741,1,0.995,0.9069,0.99741,1,0.995,0.9437,0.27364,0.34488,4.4212,0.54921,0.0007328,0.0007328,0.0007328
34,1725.92,0.53923,0.6988,0.50613,0.94692,0.99749,1,0.995,0.90803,0.99749,1,0.995,0.95528,0.30805,0.33638,4.13057,0.56777,0.0006932,0.0006932,0.0006932
35,1775.01,0.63672,0.75759,0.53523,0.98142,0.99744,1,0.995,0.91339,0.99744,1,0.995,0.94453,0.295,0.3288,3.97477,0.56165,0.0006536,0.0006536,0.0006536
36,1825.68,0.54754,0.71034,0.47721,0.94698,0.9972,1,0.995,0.90597,0.9972,1,0.995,0.93749,0.2932,0.35191,3.89199,0.56107,0.000614,0.000614,0.000614
37,1875.49,0.5953,0.70264,0.52374,0.98177,0.9974,1,0.995,0.90615,0.9974,1,0.995,0.9654,0.28804,0.33595,3.88467,0.56498,0.0005744,0.0005744,0.0005744
38,1925.23,0.54926,0.75238,0.47552,0.90593,0.99729,1,0.995,0.91093,0.99729,1,0.995,0.95856,0.26341,0.33404,3.92692,0.55296,0.0005348,0.0005348,0.0005348
39,1975,0.51694,0.71339,0.45229,0.91511,0.99729,1,0.995,0.91816,0.99729,1,0.995,0.94863,0.25636,0.34487,3.83863,0.55111,0.0004952,0.0004952,0.0004952
40,2023.85,0.56536,0.70606,0.47389,0.93557,0.9974,1,0.995,0.92116,0.9974,1,0.995,0.97802,0.25785,0.32977,3.70673,0.55385,0.0004556,0.0004556,0.0004556
41,2071.6,0.48008,0.62267,0.50831,0.95362,0.99742,1,0.995,0.91068,0.99742,1,0.995,0.95018,0.27003,0.33312,3.60917,0.55277,0.000416,0.000416,0.000416
42,2119.63,0.43031,0.56444,0.48426,0.89085,0.99739,1,0.995,0.94821,0.99739,1,0.995,0.96291,0.25191,0.3404,3.60658,0.54866,0.0003764,0.0003764,0.0003764
43,2168.15,0.45998,0.56813,0.48312,0.94846,0.99744,1,0.995,0.94364,0.99744,1,0.995,0.96612,0.24981,0.35091,3.61494,0.54481,0.0003368,0.0003368,0.0003368
44,2219.36,0.44377,0.56226,0.46984,0.86741,0.99743,1,0.995,0.91988,0.99743,1,0.995,0.95863,0.27185,0.33844,3.65868,0.5476,0.0002972,0.0002972,0.0002972
45,2269.19,0.42292,0.5653,0.47891,0.9058,0.99747,1,0.995,0.92242,0.99747,1,0.995,0.96424,0.26651,0.32975,3.39332,0.54895,0.0002576,0.0002576,0.0002576
46,2318.84,0.43639,0.55081,0.45407,0.89019,0.99747,1,0.995,0.91804,0.99747,1,0.995,0.95549,0.26483,0.32746,3.10129,0.54631,0.000218,0.000218,0.000218
47,2368.24,0.41346,0.54878,0.4445,0.90499,0.99748,1,0.995,0.93432,0.99748,1,0.995,0.9586,0.26063,0.32858,3.01982,0.54398,0.0001784,0.0001784,0.0001784
48,2418.08,0.38957,0.54806,0.42341,0.87394,0.99747,1,0.995,0.92655,0.99747,1,0.995,0.96354,0.25723,0.33051,2.98467,0.54298,0.0001388,0.0001388,0.0001388
49,2466.49,0.36719,0.50583,0.54411,0.84869,0.99748,1,0.995,0.94138,0.99748,1,0.995,0.96927,0.24471,0.32552,2.95979,0.53957,9.92e-05,9.92e-05,9.92e-05
50,2515.69,0.39819,0.5272,0.41504,0.84841,0.9975,1,0.995,0.936,0.9975,1,0.995,0.96244,0.241,0.3226,2.95211,0.53634,5.96e-05,5.96e-05,5.96e-05
